CodeSection,count,coverage_pct
28.2-201,21,99.2185536161791
A.46.2-854,20,99.22074899863118
B.46.2-817,20,99.22294438108327
18.2-134,20,99.22513976353535
46.2-861.1,20,99.22733514598744
21-1/46.2-707,20,99.22953052843954
23-11,20,99.23172591089163
46.2-712,20,99.23392129334371
18.2-248.5,20,99.2361166757958
18.2-171,19,99.23820228912528
19.2-161,19,99.24028790245477
18.2-26/18.2-58,19,99.24237351578425
46.2-1157,19,99.24445912911374
18.2-151,19,99.24654474244322
54-33,19,99.2486303557727
18.2-186.4,19,99.25071596910219
46.2-928,19,99.25280158243167
18.2-248 (C),19,99.25488719576116
19.2-152,19,99.25697280909064
16.1-253.4,19,99.25905842242013
18.2-282(A),19,99.26114403574961
F.46.2-873,18,99.26311987995649
46.2-1559,18,99.26509572416337
46.2-1034,18,99.26707156837024
46.2-824,18,99.26904741257712
24-13,18,99.271023256784
46.2-833.1,18,99.27299910099089
3.2-6587,18,99.27497494519777
18.2-108(A),18,99.27695078940465
18.2-311,18,99.27892663361152
18.2-374.3(C),18,99.2809024778184
18.2-314,18,99.28287832202528
2021-04-5-7,18,99.28485416623217
19.2-303.6,17,99.28672024131644
18.2-417,17,99.28858631640071
25-224,17,99.29045239148499
21-1/46.2-818.2,17,99.29231846656927
19.2-99,17,99.29418454165354
19.2-270.4:1,17,99.29605061673782
46.2-341.7,17,99.2979166918221
21-1/46.2-821,17,99.29978276690636
23-43,17,99.30164884199064
46.2-730,17,99.30351491707492
4.1-1101,17,99.30538099215919
A.46.2-301,17,99.30724706724347
A.46.2-1052,17,99.30911314232775
18.2-405,17,99.31097921741201
46.2-808.1,17,99.31284529249629
32.1-27,17,99.31471136758057
3.2-6554,17,99.31657744266484
18.2-26/18.2-91,16,99.31833374862651
18.2-376.1,16,99.32009005458818
46.2-617,16,99.32184636054986
33.2-501B,16,99.32360266651153
46.2-329,16,99.3253589724732
46.2-1080,16,99.32711527843487
46.2-924,16,99.32887158439654
46.2-861.1(B),16,99.33062789035822
18.2-408,16,99.33238419631988
18.2-152.7:2,16,99.33414050228156
2021-04-5-14,16,99.33589680824322
22.1-254,15,99.3375433450823
29-10,15,99.33918988192136
18.2-27,15,99.34083641876042
18.2-323.01,15,99.3424829555995
3.2-6538,15,99.34412949243855
46.2-1040,15,99.34577602927762
46.2-1156,15,99.34742256611669
46.2-844,15,99.34906910295575
5-38,15,99.35071563979481
18.2-258.02,15,99.35236217663389
18.2-477.2,15,99.35400871347295
18.2-461.1,15,99.35565525031203
18.2-60.4(A),15,99.35730178715109
18.2-22/18.2-51,15,99.35894832399015
19.2-315,15,99.36059486082922
21-1/46.2-1052,14,99.36213162854568
25-152,14,99.36366839626214
46.2-346,14,99.3652051639786
18.2-82,14,99.36674193169506
18.2-287.2,14,99.36827869941153
46.2-865,14,99.36981546712799
18.2-423.01,14,99.37135223484445
18.2-308.2:2(K),14,99.37288900256091
18.2-308.1:2,14,99.37442577027737
19.2-132,14,99.37596253799384
13-23,14,99.3774993057103
"18.2-67.1(A,2)",14,99.37903607342676
58.1-452,14,99.38057284114322
18.2-323,14,99.38210960885968
2021-04-5-3(2),14,99.38364637657615
18.2-287.01,13,99.38507337517001
18.2-456 A5,13,99.38650037376387
46.2-849,13,99.38792737235772
